INSERT INTO `owl_logs` VALUES ('2021-09-02 19:43:42', '34', 'ch578', 'ch578;ch580;', ' got killed by Kane Sanders (Fist)')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:44:02', '8', 'ch576', 'ch573;ch576;ch575;', 'wa zbi')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:44:04', '8', 'ch576', 'ch573;ch576;ch575;', 'karim')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:45:11', '4', 'ch576', 'ch576;', 'DISARM')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:45:24', '34', 'ch580', 'ch580;ch577;', ' got killed by Bruno Vitorello (Fist)')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:45:28', '8', 'ch575', 'ch576;ch575;', 'wait')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:45:47', '34', 'ch577', 'ch577;ch573;', ' got killed by Benjamin Flores (Fist)')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:45:55', '40', 'ch573', 'ch573;ch579;ch577;ch578;ch580;', '*Benjamin Flores Ki Jbed Sla7 Mn Duty Belt*')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:46:01', '40', 'ch573', 'ch573;ch579;ch577;ch578;ch580;', '*Benjamin Flores Ki Jbed Sla7 Mn Duty Belt*')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:46:20', '12', 'ch577', 'ch573;ch579;ch577;ch578;ch580;', '3te9')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:46:28', '12', 'ch579', 'ch579;ch577;ch578;ch580;', '7amid kayghre9')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:46:43', '12', 'ch580', 'ch573;ch579;ch577;ch578;ch580;', '3te9 3te9 3te9')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:46:43', '12', 'ch577', 'ch573;ch579;ch577;ch578;ch580;', '9lwto bdat katnfeekh')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:47:00', '14', 'ch579', 'ch573;ch579;ch577;ch578;ch580;', 'Kaylta9t anfasu l2akhira')
