[0:28:16] (PlayerName:Jeffry_Cross | UserName:ASPRO) :home
[0:28:16] (PlayerName:Jeffry_Cross | UserName:ASPRO) :home
[0:28:17] (PlayerName:Jeffry_Cross | UserName:ASPRO) :home
[0:28:18] (PlayerName:Jeffry_Cross | UserName:ASPRO) :home
[0:28:19] (PlayerName:Scott_Lopez | UserName:haytamix) :gethere Josef_Descender
[0:28:21] (PlayerName:Jeffry_Cross | UserName:ASPRO) :home
[0:28:26] (PlayerName:Denver_Morata | UserName:denver) :heal 5 0
[0:28:28] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :goto jose
[0:28:36] (PlayerName:Ahmed_Nefha | UserName:MBARK) :creck
[0:28:43] (PlayerName:Josef_Descender | UserName:N1CHO) :fall
[0:28:44] (PlayerName:Scott_Lopez | UserName:haytamix) :places
[0:29:4] (PlayerName:Josef_Descender | UserName:N1CHO) :me hh
[0:29:7] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :LSPD, pull over and turn off your engine now!
[0:29:8] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :LSPD, pull over and turn off your engine now!
[0:29:8] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :LSPD, pull over and turn off your engine now!
[0:29:11] (PlayerName:Josef_Descender | UserName:N1CHO) :me ana sift lihom
[0:29:18] (PlayerName:Josef_Descender | UserName:N1CHO) :call 30
[0:29:21] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :LSPD, pull over and turn off your engine now!
[0:29:37] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon   den
[0:29:43] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gotoveh 125
[0:29:47] (PlayerName:Josef_Descender | UserName:N1CHO) :me hh
[0:30:18] (PlayerName:Scott_Lopez | UserName:haytamix) :p f m3rid li fo9 l7odod
[0:30:23] (PlayerName:Scott_Lopez | UserName:haytamix) :p wa7ed myet
[0:30:29] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon jeff
[0:30:41] (PlayerName:Josef_Descender | UserName:N1CHO) :me a hua
[0:30:53] (PlayerName:LSRP_Player#5159 | UserName:) :friends
[0:30:53] (PlayerName:LSRP_Player#5159 | UserName:) :friends
[0:30:54] (PlayerName:LSRP_Player#5159 | UserName:) :friends
[0:30:55] (PlayerName:LSRP_Player#5159 | UserName:) :friends
[0:30:58] (PlayerName:LSRP_Player#5159 | UserName:) :friends
[0:30:58] (PlayerName:LSRP_Player#5159 | UserName:) :friends
[0:30:59] (PlayerName:LSRP_Player#5159 | UserName:) :friends
[0:31:6] (PlayerName:LSRP_Player#5159 | UserName:) :friends
[0:31:12] (PlayerName:Denver_Morata | UserName:denver) :freecam
[0:31:15] (PlayerName:Denver_Morata | UserName:denver) :cpr
